year,id,title,org,keyword,abstract_url
115,18788883,森・川・海・島：博物館與臺灣原住民族社群在傳統生態知識上的共學與共作-雙目之森：臺東新武呂溪布農領域的多物種民族誌初探與知行共構,國立臺灣史前文化博物館展示教育組,傳統生態知識；多物種民族誌；共作民族誌；社區導向博物館；布農族,https://www.grb.gov.tw/search/planDetail2?id=18788883
115,19115185,原住民族文化影響評估之發展與應用：以台東縣金崙溪流域為個案之研究,國立政治大學土地政策與環境規劃碩士原住民專班,文化影響評估；地熱開發；原住民族；排灣族；土地權；永續發展,https://www.grb.gov.tw/search/planDetail2?id=19115185
115,19542394,中央山脈斷層之孕震潛勢: 重探 1951 年台東地震序列之啟示,國立中央大學地震災害鏈風險評估及管理研究中心,1951年台東地震； 中央山脈斷層； 三維波形模擬； 傳染型餘震序列； 地震危害度評估,https://www.grb.gov.tw/search/planDetail2?id=19542394
115,19562759,提升臺灣城鄉面對氣候變遷下之災害韌性115年度-臺東縣,國立臺東大學資訊管理學系,氣候變遷調適；災害風險評估；災害情資整合；數位防災；跨部門及跨機關協作；地方調適治理；,https://www.grb.gov.tw/search/planDetail2?id=19562759
115,19700987,開發具有預防阿茲海默症潛力的樹豆台東三號發酵飲品,大葉大學藥用植物與食品保健學系,樹豆；發芽；康普茶；阿茲海默症；腸道-腦軸,https://www.grb.gov.tw/search/planDetail2?id=19700987
115,19484588,宗教基礎設施研究：探索白冷會對台東的建設,國立臺東大學公共與文化事務學系,天主教；白冷外方傳教會；基礎設施；教堂；台東,https://www.grb.gov.tw/search/planDetail2?id=19484588
115,19530950,台灣東南海域台東海槽之構造特徵與沈積系統：橫移拉張作用對弧前盆地的影響,國立臺灣大學海洋研究所,台東海槽；台灣東南海域；綠島蘭嶼斷層；橫移拉張,https://www.grb.gov.tw/search/planDetail2?id=19530950
115,19462135,大學—國中—社區模組的參與式行動研究：台東偏鄉國中的技職賦能專案課程實踐,國立臺灣科技大學數位學習與教育研究所,大學—國中—社區模式；參與式行動研究；技職賦能；實作專案課程學習；偏鄉教育,https://www.grb.gov.tw/search/planDetail2?id=19462135
115,19274182,科普活動：2026年臺東縣全民科學週及科普環島列車暨偏(原)鄉科普推廣計畫,國立臺東大學綠能與資訊科技學系,科普環島列車；偏(原)鄉原民科普推廣；全民科學週；科學園遊會；動手做,https://www.grb.gov.tw/search/planDetail2?id=19274182
115,19389822,以反射震測為基礎進行花東縱谷南段斷層與孕震構造系統整合研究,國立臺灣大學地質科學系暨研究所,反射震測；花東縱谷南段；斷層；孕震構造系統；2025/12/24 M6.1臺東地震,https://www.grb.gov.tw/search/planDetail2?id=19389822
115,19413270,極端事件於臺灣東部外海之海洋地質紀錄-5-EAGER-ET-5：花東海盆沉積物岩心中事件型沉積物之元素組成差異與控制機制探討(II),國立中山大學海洋科學系,花東海盆；臺東海底峽谷；沉積事件層；元素組成；海底地質災害,https://www.grb.gov.tw/search/planDetail2?id=19413270
