file_year,title,school,dept,grad_year,degree,author,url
105,臺東縣身心障礙者就業現況與心理健康之研究,國立臺東大學,進修部暑期諮商心理碩士專班,105,碩士,林慧玟,https://hdl.handle.net/11296/647j36
105,臺東縣原住民族部落大學東排灣地區課程實施之研究,國立臺東大學,教育學系課程與教學碩士班,105,碩士,吳佳霖,https://hdl.handle.net/11296/g595uk
105,生命教育的自覺與實踐-以Bunun與一貫道信仰在台東的邂逅為例,國立政治大學,教育學系,105,博士,温毓禎,https://hdl.handle.net/11296/t52k9r
105,臺東縣族群交友界線研究－以2015年國小六年級學生之本人好友與父母婚配為例,國立臺東大學,教育學系教育研究所,105,博士,游宗輝,https://hdl.handle.net/11296/q844zf
105,臺東縣國小總務主任工作壓力、工作滿意度與續任意願關係之研究,國立臺東大學,進修部環境經濟資管碩專(假日),105,碩士,黃正吉,https://hdl.handle.net/11296/8bhc9z
105,臺東縣國小導師使用LINE進行親師溝通的困擾與持續使用意圖之影響,國立臺東大學,進修部環境經濟資管碩專(假日),105,碩士,王鳳如,https://hdl.handle.net/11296/aym472
105,國小教師對氣候變遷概念認知、態度、教學信念及在職進修意願之研究-以臺東縣為例,國立臺東大學,進修部環境經濟資管碩專(假日),105,碩士,柯佳伶,https://hdl.handle.net/11296/4rjzsy
105,地方依附、環境復癒知覺與情緒體驗之研究－以臺東縣池上鄉大坡池風景區為例,國立臺東大學,進修部休閒事業管理組碩(夜間）,105,碩士,楊詠媛,https://hdl.handle.net/11296/h9s46e
105,低碳社區實施方案與行動之研究-以臺東縣為例,國立臺東大學,進修部環境經濟資管碩專(假日),105,碩士,周怡婷,https://hdl.handle.net/11296/8p6bp4
105,身教式持續安靜閱讀提升台東縣偏遠地區學童閱讀動機與閱讀興趣之行動研究,國立臺東大學,進修部教育行政碩士班(夜間),105,碩士,鍾明靜,https://hdl.handle.net/11296/thcwn8
105,台東縣國小直笛合奏團經營狀況與策略之研究,國立臺東大學,進修部教育行政碩士班(夜間),105,碩士,楊貴喬,https://hdl.handle.net/11296/24j536
105,臺東焚化廠重新啟用問題之探討,國立臺東大學,進修部公共與文化事務碩士專班(假日),105,碩士,陳柏均,https://hdl.handle.net/11296/eea6q2
105,從計畫行為理論探討自助旅遊行為意圖之研究-以臺東為例,國立臺東大學,進修部環境經濟資管碩專(假日),105,碩士,洪秀偵,https://hdl.handle.net/11296/m4nth4
105,臺東縣高中職軍訓教官參與休閒活動阻礙因素之研究,國立臺東大學,進修部運動休閒管理碩(假日),105,碩士,黃建儒,https://hdl.handle.net/11296/866np6
105,觀光夜市的營運、管理與衝擊 -以臺東市觀光夜市為例,國立臺東大學,進修部公共與文化事務碩士專班(假日),105,碩士,張祐郡,https://hdl.handle.net/11296/92234t
105,臺東縣國小巡迴輔導教師工作現況與困擾之研究,國立臺東大學,特殊教育學系碩士班,105,碩士,林桂瑤,https://hdl.handle.net/11296/cqc587
105,臺東縣國小特殊教育宣導實施之研究,國立臺東大學,特殊教育學系碩士班,105,碩士,黃馨瑩,https://hdl.handle.net/11296/6652z8
105,從颱風應變個案分析臺東縣災害下的應變作為,國立臺東大學,進修部環境經濟資管碩專(假日),105,碩士,傅惠民,https://hdl.handle.net/11296/e8rgns
105,探討台東市某醫院糖尿病門診病患照護滿意度之調查,國立臺東大學,進修部運動休閒管理碩(假日),105,碩士,吳素禎,https://hdl.handle.net/11296/sg6eh4
105,背包客棧經營策略關鍵因素之研究--以臺東為例,國立臺東大學,文化資源與休閒產業學系碩士班,105,碩士,吳佩洳,https://hdl.handle.net/11296/st9j6k
105,臺東市防災避難圈之劃設研究,國立臺東大學,進修部環境經濟資管碩專(假日),105,碩士,莊金庭,https://hdl.handle.net/11296/59adj3
105,應用IPA分析法檢視警察機關對防制詐欺宣導服務品質之研究-以臺東縣成功地區為例,國立臺東大學,進修部環境經濟資管碩專(假日),105,碩士,董遠展,https://hdl.handle.net/11296/zquv95
105,臺東縣高中職學生理財素養及理財行為之研究,國立臺東大學,進修部教育行政碩士班(夜間),105,碩士,歐佩芬,https://hdl.handle.net/11296/egutub
105,臺灣鐵人三項賽事參與者動機與休閒滿意度之研究-以2017臺東普悠瑪鐵人三項為例,國立臺東大學,進修部運動休閒管理碩(假日),105,碩士,徐嘉男,https://hdl.handle.net/11296/u9s722
105,輕度智能障礙者休閒動機、休閒阻礙因素對休閒體驗影響之研究：以台東地區國高中職為例,國立臺東大學,進修部休閒事業管理組碩(夜間）,105,碩士,王雅芬,https://hdl.handle.net/11296/fsgczx
105,臺東縣坡地災害與災害工程之空間關聯性研究,國立臺東大學,進修部環境經濟資管碩專(假日),105,碩士,王怡茜,https://hdl.handle.net/11296/bz5whz
105,臺東縣鐵人三項參加者對運動觀光期望、賽事服務滿意度、忠誠度之研究,國立臺東大學,進修部運動休閒管理碩(假日),105,碩士,王柏仁,https://hdl.handle.net/11296/eg8292
105,人權發展下對矯正機構戒護管理之影響－以臺東地區矯正機構為例,國立臺東大學,進修部公共與文化事務碩士專班(假日),105,碩士,林財發,https://hdl.handle.net/11296/jtgnr9
105,消防人員工作特性、工作壓力與休閒需求之研究-以臺東縣消防人員為例,國立臺東大學,進修部運動休閒管理碩(假日),105,碩士,鄭郁婷,https://hdl.handle.net/11296/sk8ern
105,護理人員工作壓力與工作滿意度之研究-衛生福利部臺東醫院為例,國立臺東大學,進修部運動休閒管理碩(假日),105,碩士,胡家綺,https://hdl.handle.net/11296/bffu9w
105,臺東關山地區偏鄉家庭因素與國小學童偏差行為之研究──以社會控制理論為基礎,國立臺東大學,進修部公共與文化事務碩士專班(假日),105,碩士,莊訪柔,https://hdl.handle.net/11296/v8383j
105,臺東縣1999縣民專線服務品質與滿意度研究,國立臺東大學,進修部公共與文化事務碩士專班(假日),105,碩士,陳忠遜,https://hdl.handle.net/11296/6n95eh
105,臺東縣國小學童視力保健認知與態度相關之研究,國立臺東大學,進修部運動休閒管理碩(假日),105,碩士,許鳳珍,https://hdl.handle.net/11296/vej84a
105,奈米科技融入教學的混合設計研究：以臺東的一所國中為例,國立臺東大學,教育學系教育研究所,105,碩士,邱怡靜,https://hdl.handle.net/11296/2u42jg
105,部落農業發展的問題與原因-以臺東縣大武鄉大竹村工作地部落為例,國立臺東大學,進修部公共與文化事務碩士專班(假日),105,碩士,張冠洲,https://hdl.handle.net/11296/g7v68y
105,臺東縣政府人事處暨所屬人事機構「大聯盟」關懷計畫成效分析-社會資本論點,國立臺東大學,進修部公共與文化事務碩士專班(假日),105,碩士,詹瑞成,https://hdl.handle.net/11296/j78rfc
105,應用空間統計分析農地交易與興建農舍之變遷─以臺東縣卑南鄉為例,國立臺東大學,進修部環境經濟資管碩專(假日),105,碩士,詹雅婷,https://hdl.handle.net/11296/55znf2
105,跨世代共居住宅意象建構分析-以臺東縣單身女性為例,國立臺東大學,進修部公共與文化事務碩士專班(假日),105,碩士,吳慈華,https://hdl.handle.net/11296/m66sfb
105,鄉村旅遊發展之研究—以台東縣鹿野鄉為例,國立臺東大學,進修部休閒事業管理組碩(夜間）,105,碩士,林靜宜,https://hdl.handle.net/11296/6hc5g2
105,吸引力、體驗價值與忠誠度關係之研究—以臺東市背包客民宿為例,國立臺東大學,進修部休閒事業管理組碩(夜間）,105,碩士,林子豐,https://hdl.handle.net/11296/9gqc88
105,臺東大學特教系畢業生職涯發展之研究,國立臺東大學,特殊教育學系碩士班,105,碩士,楊雅涵,https://hdl.handle.net/11296/4vht9j
105,基層戒護管理人員休閒運動參與及阻礙因素之研究-以臺東地區矯正機關為例,國立臺東大學,進修部運動休閒管理碩(假日),105,碩士,莊坤龍,https://hdl.handle.net/11296/g4n88y
105,臺東縣公立學校游泳池委外經營現況之研究－以臺東女子高級中學游泳池為例,國立臺東大學,進修部運動休閒管理碩(假日),105,碩士,許世衡,https://hdl.handle.net/11296/8txshp
105,臺東縣公私立幼兒園教保服務人員親師溝通與教學之研究,國立臺東大學,進修部暑期諮商心理碩士專班,105,碩士,陳靜媛,https://hdl.handle.net/11296/77b3z2
105,臺東縣五年級偏鄉學童寫作特徵分析,國立臺東大學,進修部暑期課程與教學碩專班,105,碩士,李鎔而,https://hdl.handle.net/11296/y6eg2p
105,吸引力、地方依附與滿意度之研究－以臺東市海濱公園為例,國立臺東大學,進修部暑期文化資源與休閒產業碩士專班,105,碩士,蔡素吟,https://hdl.handle.net/11296/7uw79c
105,台東縣國中師生網路人際互動與班級經營效能之研究,國立臺東大學,進修部暑期課程與教學碩專班,105,碩士,陳情情,https://hdl.handle.net/11296/wahwr7
105,台東地區國中生依附關係與生涯自我效能之相關研究,國立臺東大學,進修部暑期諮商心理碩士專班,105,碩士,曹如伶,https://hdl.handle.net/11296/f4j8g2
105,臺東縣公立幼兒園教師對特殊教育資源中心支持服務需求與現況調查,國立臺東大學,進修部暑期幼兒教育碩士班,105,碩士,陳美惠,https://hdl.handle.net/11296/592t5s
105,從社會網絡理論探討民眾參與觀光活動之研究-以台東縣成功鎮為例,國立臺東大學,進修部暑期文化資源與休閒產業碩士專班,105,碩士,簡詩涵,https://hdl.handle.net/11296/247ktc
105,原住民族諮商同意在核廢料最終處置場選址機制的實踐—以台東達仁南田建議候選場址為例,國立東華大學,財經法律研究所,105,碩士,鄭丞軒,https://hdl.handle.net/11296/mmt9v7
105,台東卑南族建和部落文化旅遊現象研究,國立臺灣師範大學,公民教育與活動領導學系,105,博士,江坤勱,https://hdl.handle.net/11296/8xm6xa
105,台東鐵花村˙音樂聚落之在地意象及其對藝術教育的影響,國立臺灣師範大學,美術學系,105,碩士,陳怡伶,https://hdl.handle.net/11296/748ynv
105,台鐵台東線加班車排班定型化研究,淡江大學,運輸管理學系碩士班,105,碩士,洪政屹,https://hdl.handle.net/11296/5q6mms
105,在地組織參與台東舊街生活營造之研究—以台東縣台東市強國社區發展協會為例,國立成功大學,建築學系碩士在職專班,105,碩士,陳怡婉,https://hdl.handle.net/11296/2p5juh
105,台灣台東地區大氣中之細懸浮微粒及戴奧辛之研究,國立成功大學,環境工程學系,105,碩士,張克平,https://hdl.handle.net/11296/mbtexh
105,國立臺東高中的SWOT分析及策略研究,國立屏東科技大學,農企業管理系所,105,碩士,謝青奇,https://hdl.handle.net/11296/gmmbmd
105,台東鸞山地區土壤環境與穿山甲排遺中的白蟻物種組成,國立屏東科技大學,野生動物保育研究所,105,碩士,梁竣傑,https://hdl.handle.net/11296/2k6pq9
105,應用微波雷達表面流速儀建置自動化水位流量站之探討-以卑南溪台東大橋為例,國立屏東科技大學,土木工程系所,105,碩士,黎忠道卡冠納,https://hdl.handle.net/11296/vrbe6z
105,地方政府未達公告金額採購策略之研究-以臺東縣為例,國立屏東科技大學,土木工程系所,105,碩士,吳哲元,https://hdl.handle.net/11296/753za5
105,農藥專業認知對銷售行為影響之研究－以臺東地區為例,國立屏東科技大學,熱帶農業暨國際合作系,105,碩士,趙熙之,https://hdl.handle.net/11296/thx6fx
105,台東縣幼兒園新手教師工作壓力與因應之探究,國立臺東大學,進修部暑期諮商心理碩士專班,105,碩士,蕭湘樺,https://ndltd.ncl.edu.tw/r/92sban
108,區域社會福利服務中心資源網絡連結之研究 -以台東縣為例,國立暨南國際大學,社會政策與社會工作學系,108,碩士,黃惠聆,https://hdl.handle.net/11296/9p2kg4
108,台東縣國中學生休閒運動參與動機 與休閒運動滿意度之研究,稻江科技暨管理學院,休閒遊憩管理學系碩士班,108,碩士,齊燕豪,https://hdl.handle.net/11296/89a3kk
108,數學寫作應用於數學領域學習成效之研究：以臺東縣二位國小五年級學生為例,國立臺東大學,進修部暑期學校行政碩士班,108,碩士,鄭盧怡君,https://hdl.handle.net/11296/h73z4a
108,臺東縣國小教師情緒管理與班級經營關係之研究,國立臺東大學,教育學系教育研究所,108,碩士,吳依依,https://hdl.handle.net/11296/9am3t8
108,臺東大學四年制大學生工讀動機、職業適性與職涯探索之研究,國立臺東大學,進修部暑期學校行政碩士班,108,碩士,張松霖,https://hdl.handle.net/11296/gxt8n4
108,國中專任輔導教師實施生態系統合作經驗探討－以臺東地區為例,國立臺東大學,進修部暑期課程與教學碩專班,108,碩士,彭淳靖,https://hdl.handle.net/11296/4c5pzv
108,台東縣高風險家庭回流個案之研究,長榮大學,社會工作學系碩士班,108,碩士,陽佩菁,https://hdl.handle.net/11296/u2vupx
108,海巡署偵辦岸際毒品走私之偵查作為研究－ 以2012-2017臺東查緝隊案件為例,環球科技大學,公共事務管理研究所,108,碩士,林召山,https://hdl.handle.net/11296/t93w4j
108,以「共餐」介入活動對長者情緒表現之行動研究 – 以台東長老教會社區關懷站為例,南神神學院,基督教研究所,108,碩士,黃美雪,https://hdl.handle.net/11296/v44437
108,臺東地區羽球運動參與者認真性休閒、流暢體驗與幸福感關係之研究,國立臺東大學,進修部暑期文化資源與休閒產業碩士專班,108,碩士,林怡君,https://hdl.handle.net/11296/vb42bm
108,臺東縣國小教師對於新課綱實施態度之調查研究 —以語文領域之國語文為例,國立臺北教育大學,教育經營與管理學系,108,碩士,游文賢,https://hdl.handle.net/11296/gyd9hu
108,節慶活動與地方感之形成—以臺東縣池上鄉為例,國立中央大學,客家社會文化研究所,108,碩士,謝依儒,https://hdl.handle.net/11296/32s489
108,山野教育實施之困境及其改善策略：以台東縣一所原住民小學為例,國立東華大學,教育行政與管理學系,108,碩士,黃俊祐,https://hdl.handle.net/11296/9z6j2n
108,花蓮縣及臺東縣國立高中職學校兼任行政工作教師離職現況與成因分析-兼論非典型人力擔任行政職之可行性分析,國立東華大學,公共行政學系,108,碩士,華李振華,https://hdl.handle.net/11296/8t8wp7
108,早期療育到宅教保人員之服務困境及其解決策略：以臺灣兒童發展早期療育協會台東辦事處為例,國立東華大學,幼兒教育學系,108,碩士,連碧雲,https://hdl.handle.net/11296/7wfwaf
108,鐵人三項愛好者對民宿選擇偏好、住宿體驗價值及再投宿意願之研究—以臺東地區鐵人三項賽會活動為例,中國科技大學,企業管理系碩士在職專班,108,碩士,蔡英豪,https://hdl.handle.net/11296/yj8fsy
108,一個部落的野生動物資源治理體制探索－以臺東縣卑南鄉達魯瑪克部落為例,國立臺灣大學,森林環境暨資源學研究所,108,碩士,羅晴,https://hdl.handle.net/11296/xgn5hk
108,由臺東上里遺址石板棺資料探討卑南文化晚期至三和文化初期的社會轉變,國立臺灣大學,人類學研究所,108,碩士,陳柏仰,https://hdl.handle.net/11296/faf74s
108,影響旅客旅遊動機、旅遊型態與再度參訪意圖之研究-以台東文創景點為例,東方設計大學,文化創意設計研究所,108,碩士,劉淑蘭,https://hdl.handle.net/11296/82txte
108,會展節事活動成效評估模式建模與評估-以台東三仙台元旦迎曙光活動為例,樹德科技大學,會展管理與貿易行銷碩士學位學程,108,碩士,曾子玲,https://hdl.handle.net/11296/k9fbe5
108,運用機器學習理論建構崩塌地潛勢-以臺東縣 太麻里溪流域為例,國立臺北教育大學,社會與區域發展學系碩士班,108,碩士,余軒誼,https://hdl.handle.net/11296/w77646
108,體育賽事活動對臺東觀光產業之經營績效影響研究,大葉大學,管理學院碩士在職專班,108,碩士,羅義傑,https://hdl.handle.net/11296/b4qmkx
108,知識翻新活動融入達悟族大船文化課程教學之行動研究--以臺東縣蘭嶼鄉朗島國小六年級學生為例,國立政治大學,圖書資訊學數位碩士在職專班,108,碩士,許菱雅,https://hdl.handle.net/11296/cq4aeu
108,卑南族年齡階級制度對於族人自我效能與知識分享方式之研究 -以台東建和部落為例,國立中正大學,成人及繼續教育研究所,108,碩士,葉蕙瑄,https://hdl.handle.net/11296/ghzt52
108,不同值勤人員與報案民眾認知對線上指導CPR執勤績效之影響-以台東縣消防局為例,國立高雄科技大學,土木工程系,108,碩士,林裕璋,https://hdl.handle.net/11296/73ydne
108,臺東縣偏遠地區小型學校國中音樂課程教學現況之探究,國立高雄師範大學,音樂學系,108,碩士,陳姵瑄,https://hdl.handle.net/11296/2pjdx7
108,文化創意產業之經營效益個案分析 —以彩繪藝術應用於台東縣大武鄉原住民部落為例,樹德科技大學,經營管理研究所,108,碩士,蘇英源,https://hdl.handle.net/11296/76gch7
108,長期照顧服務法對偏鄉住宿式長照機構經營之影響-以台東縣為例,中臺科技大學,醫療暨健康產業管理系碩士班,108,碩士,劉嘉芳,https://hdl.handle.net/11296/2c499s
108,台東縣政2009~2018年轉型案例的分析─以自組織與他組織原理作用觀點,國立交通大學,管理學院經營管理學程,108,碩士,楊慶奎,https://hdl.handle.net/11296/5vbw8u
108,人工光源對台東縣蘭嶼鄉綠蠵龜稚龜之下海行為的影響,國立臺灣海洋大學,海洋生物研究所,108,碩士,柯政佑,https://hdl.handle.net/11296/98ppvt
108,臺東縣蘭嶼鄉綠蠵龜胚胎發育過程中各期死亡率之探討,國立臺灣海洋大學,海洋生物研究所,108,碩士,周厚均,https://hdl.handle.net/11296/ke6bex
108,台東縣幽門螺旋桿菌感染鄉鎮及族群差異之分析,國立臺灣大學,公共衛生碩士學位學程,108,碩士,林郁文,https://hdl.handle.net/11296/bne67m
108,台東某區域教學醫院失智症護理諮詢對於改善主要照顧者不確定感之成效,中山醫學大學,護理系長期照護碩職專班,108,碩士,林佩璇,https://hdl.handle.net/11296/rqce9t
108,農企業之社會企業商業模式研究以台東延平鄉為例,國立嘉義大學,生物事業管理學系研究所,108,碩士,蔡素芬,https://hdl.handle.net/11296/28hppb
108,再探台東及台中焚風的時空特徵,國立嘉義大學,應用歷史學系研究所,108,碩士,吳幸蓮,https://hdl.handle.net/11296/3jm92j
108,臺東縣國小棒球選手參與訓練動機與阻礙因素之研究,國立臺東大學,進修部暑期體育碩士班,108,碩士,黃云伶,https://hdl.handle.net/11296/7xub2z
108,原住民族家長對幼兒金錢教育與運用之教養態度調查研究-以臺東大武地區為例,國立臺東大學,進修部暑期幼兒教育碩士班,108,碩士,林玉穎,https://hdl.handle.net/11296/h6ef62
108,從節慶品質與食品相關人格特質觀點探討遊客忠誠度之研究：以臺東慢食節為例,國立臺東大學,文化資源與休閒產業學系碩士班,108,碩士,李柏甫,https://hdl.handle.net/11296/p848gh
108,幼托整合後臺東縣國小附設幼兒園初任正式教師與教保員互動方式之研究,國立臺東大學,進修部公共與文化事務碩士專班(假日),108,碩士,黃毓雯,https://hdl.handle.net/11296/97m4qz
108,臺東原住民眼中的中國-以兩岸文化交流為例,國立臺東大學,進修部公共與文化事務碩士專班(假日),108,碩士,洪震庭,https://hdl.handle.net/11296/pu7z54
108,遊憩者-遊憩環境契合度、持續涉入與滿意度之研究-以台東市某健身房為例,國立臺東大學,進修部休閒事業管理組碩(夜間）,108,碩士,林愷文,https://hdl.handle.net/11296/he8579
108,Facebook社群網站使用之休閒動機、休閒涉入、休閒滿意度對休閒效益影響之研究—以臺東縣國中小教師為例,國立臺東大學,進修部休閒事業管理組碩(夜間）,108,碩士,陳泰康,https://hdl.handle.net/11296/k2d22s
108,臺東地區男性護理人員性別角色與人力問題之探討,國立臺東大學,進修部公共與文化事務碩士專班(假日),108,碩士,呂玟萲,https://hdl.handle.net/11296/3k626w
108,高級救護技術員人力問題之研究─以臺東縣消防局為例,國立臺東大學,進修部公共與文化事務碩士專班(假日),108,碩士,蘇稚茜,https://hdl.handle.net/11296/8zq2bh
108,抗衰老美容產品之成分分析及其商業 價值–以台東原生蝶豆花為例,國立臺東大學,綠色產業高階管理碩士在職專班,108,碩士,李鳳香,https://hdl.handle.net/11296/45ys4z
108,臺東縣國中生背景變項、家庭結構、依附關係與主觀幸福感之相關研究,國立臺東大學,進修部教育行政碩士班(夜間),108,碩士,周鈺婷,https://hdl.handle.net/11296/u5y8uf
108,小團體輔導對台東縣國小情緒困擾學童輔導成效之研究：以六名情緒困擾學童為例,國立臺東大學,進修部教育行政碩士班(夜間),108,碩士,吳亭萱,https://hdl.handle.net/11296/p7frt8
108,以方法目的鏈探討泳客之環境體驗價值-以台東森林公園活水湖為例,國立臺東大學,進修部休閒事業管理組碩(夜間）,108,碩士,秦嘉駿,https://hdl.handle.net/11296/bf2dpd
108,液化石油氣容器非法儲存之研究-以臺東縣為例,國立臺東大學,進修部公共與文化事務碩士專班(假日),108,碩士,林家暉,https://hdl.handle.net/11296/an96x9
108,台東市咖啡店LOGO設計之分析研究,國立臺東大學,進修部美術產業發展碩專(夜間班),108,碩士,廖彩雯,https://hdl.handle.net/11296/m7gbhq
108,臺東關山湧泉與觀光發展之研究-以里壠湧水圳為例,國立臺東大學,進修部休閒事業管理組碩(夜間）,108,碩士,黃昆合,https://hdl.handle.net/11296/8at9ea
108,再造普魯湧泉與臺東市觀光發展之探討,國立臺東大學,進修部休閒事業管理組碩(夜間）,108,碩士,劉秋美,https://hdl.handle.net/11296/q3r4yw
108,園藝治療應用於台東的適性之探究—物種的選擇,國立臺東大學,進修部休閒事業管理組碩(夜間）,108,碩士,呂淑君,https://hdl.handle.net/11296/nu7nsb
108,休閒旅遊餐飲微型創業成功關鍵因素 研究-以臺東之成功創業家為例,國立臺東大學,文化資源與休閒產業學系碩士班,108,碩士,陳威宇,https://hdl.handle.net/11296/4j535k
108,生薑加工飲品之消費者購買意願調查-以台東生薑氣泡水為例,國立臺東大學,綠色產業高階管理碩士在職專班,108,碩士,盧偉岸,https://hdl.handle.net/11296/z5qemf
108,台東縣海洋教育資源中心學校推動成效之研究,國立臺東大學,進修部教育行政碩士班(夜間),108,碩士,呂清文,https://hdl.handle.net/11296/h3kvfx
108,房仲業口碑行銷之研究—以臺東地區為例,國立臺東大學,進修部休閒事業管理組碩(夜間）,108,碩士,陳淑宜,https://hdl.handle.net/11296/tnmnf3
108,傳統茶產業轉型經營關鍵成功因素 之研究-以臺東鹿野地區為例,國立臺東大學,進修部休閒事業管理組碩(夜間）,108,碩士,簡睿宏,https://hdl.handle.net/11296/zxxec8
108,以聯合國永續發展教育目標分析臺東縣偏鄉中小學教育品質之研究,國立臺東大學,教育學系課程與教學碩士班,108,碩士,楊維洋,https://hdl.handle.net/11296/9a7pnr
108,地方創生與地方發展關係之觀察 －應用ZMET尋找臺東南迴地區DNA與共識地圖建構,國立臺東大學,進修部公共與文化事務碩士專班(假日),108,碩士,施丁鳳,https://hdl.handle.net/11296/qnkquw
108,臺東縣原住民地區幼兒園教師族語教學信念與教學效能之研究,國立臺東大學,進修部公共與文化事務碩士專班(假日),108,碩士,宋宜珮,https://hdl.handle.net/11296/68w9e9
108,運用 ZMET 探討新創企業之需求 —以國立臺東大學創新育成中心廠商為例,國立臺東大學,公共與文化事務學系,108,碩士,吳佳駿,https://hdl.handle.net/11296/y852ud
108,以日出模式檢證原鄉老人文化照顧之實踐-以臺東縣達仁鄉新化部落為例,國立臺東大學,進修部公共與文化事務碩士專班(假日),108,碩士,林望瑄,https://hdl.handle.net/11296/wzuph5
108,照顧服務員情緒勞動在居家照顧與機構照顧之比較分析-以台東市地區為例,國立臺東大學,進修部公共與文化事務碩士專班(假日),108,碩士,蘇郁鈞,https://hdl.handle.net/11296/y2uwy8
